Krypto Name,Krypto Price,Krypto 24H Change,Krypto 24H Volume,Krypto Marketcap
Bitcoin,"$17,160.26",".css-yyku61{font-weight:var(--chakra-fontWeights-bold);color:var(--chakra-colors-green-500);}[data-theme=""dark""] .css-yyku61{color:var(--chakra-colors-green-500);}+0.47%",$16.1 B,$327.53 B
Ethereum,"$1,272.40",".css-dg4gux{font-weight:var(--chakra-fontWeights-bold);color:var(--chakra-colors-red-500);}[data-theme=""dark""] .css-dg4gux{color:var(--chakra-colors-red-500);}-0.99%",$4.89 B,$154.06 B
Tether,$1.02,+0.00%,$20.27 B,$65.5 B
BNB,$293.57,-0.71%,$619.75 M,$46.32 B
USD Coin,$1.00,-0.01%,$1.5 B,$43.35 B
Binance USD,$0.9998,-0.03%,$3.85 B,$22.15 B
XRP,$0.3938,-1.72%,$454.14 M,$19.52 B
Dogecoin,$0.105,+1.07%,$766.65 M,$13.73 B
Cardano,$0.3247,-1.36%,$177.37 M,$11.03 B
Polygon,$0.9259,-1.30%,$178.5 M,$7.97 B
Polkadot,$5.62,-0.24%,$134.49 M,$6.33 B
Dai,$1.01,+0.00%,$180.65 M,$5.69 B
Litecoin,$77.48,-0.42%,$321.32 M,$5.47 B
Wrapped TRON,$0.05325,-1.58%,"$617,698",$5.41 B
Shiba Inu,$0.000009486,-1.33%,$95.64 M,$5.1 B
HEX,$0.0289,-6.94%,$8.1 M,$5.01 B
TRON,$0.05309,-1.74%,$169.25 M,$4.89 B
Solana,$14.11,-0.75%,$138.95 M,$4.9 B
Uniswap,$6.31,-0.45%,$67.65 M,$4.72 B
Lido stETH,"$1,235.31",-0.53%,$9.88 M,$4.31 B
Avalanche,$13.89,+0.80%,$169.64 M,$4.25 B
Chainlink,$7.44,-1.07%,$194.57 M,$3.73 B
UNUS SED LEO,$3.79,+6.51%,$3.38 M,$3.61 B
Wrapped Bitcoin,"$17,321.26",+0.35%,$75.97 M,$3.57 B
Cosmos,$10.33,-0.93%,$77.67 M,$2.9 B
Ethereum Classic,$19.73,-0.85%,$90.62 M,$2.68 B
Monero,$144.46,-0.95%,$66.33 M,$2.63 B
Stellar,$0.08863,-0.88%,$30.29 M,$2.24 B
Toncoin,$1.81,+0.90%,$3.53 M,$2.21 B
Bitcoin Cash,$112.38,-0.90%,$138.8 M,$2.13 B
Algorand,$0.2426,-0.63%,$37.37 M,$1.7 B
Cronos,$0.06512,-0.26%,$13.77 M,$1.62 B
Quant,$129.39,-4.22%,$29.59 M,$1.53 B
Filecoin,$4.59,-0.89%,$70.17 M,$1.49 B
ApeCoin,$4.04,+0.88%,$103.52 M,$1.44 B
NEAR Protocol,$1.71,-1.80%,$56.55 M,$1.41 B
VeChain,$0.01977,-0.90%,$26.9 M,$1.39 B
OKB,$21.64,-1.80%,$13.36 M,$1.3 B
Internet Computer,$4.38,+1.96%,$24 M,$1.18 B
Flow,$1.15,+2.81%,$34.96 M,$1.16 B
Wrapped BNB,$289.03,-0.55%,$58.52 M,$1.1 B
Hedera,$0.05013,-1.15%,$13.68 M,$1.09 B
Luna Classic,$0.0001917,-3.28%,$93.13 M,$1.04 B
Elrond,$43.83,-1.89%,$16.29 M,$1.02 B
Chiliz,$0.169,-0.97%,$104.36 M,$1.02 B
Huobi Token,$6.61,-2.22%,$10.92 M,$1.01 B
Frax,$0.9961,-0.27%,$2.19 M,$1.01 B
Trust Wallet Token,$2.43,+3.19%,$74.15 M,$1.01 B
EOS,$0.9401,-1.60%,$78.91 M,$993.95 M
Pax Dollar,$0.9995,-0.02%,"$860,713",$945.15 M
